method;params;ber percent;snr db;psnr db
echo bf;50, 100, 0.5;0.7646276595744681;8.929633401149498;23.143709774026128
echo bf;100, 150, 0.5;0.9973404255319149;8.70505425221297;22.919130625089593
echo bf;200, 250, 0.5;1.4627659574468086;9.790254054878735;24.004330427755363
echo bf;150, 200, 0.5;1.7121010638297873;8.926986862579179;23.141063235455807
echo bf;50, 100, 0.25;4.454787234042553;14.627726726672284;28.84180309954891
echo bf;100, 150, 0.25;4.720744680851064;14.415997067672935;28.630073440549562
echo bf;200, 250, 0.25;5.767952127659575;15.13941001199101;29.353486384867637
echo bf;150, 200, 0.25;5.784574468085107;14.439964400493375;28.654040773370003
echo bf;100, 150, 0.05;29.022606382978722;28.209950999434874;42.42402737231149
echo bf;200, 250, 0.05;29.637632978723403;28.387322382472224;42.60139875534885
echo bf;150, 200, 0.05;30.45212765957447;28.44411920669523;42.65819557957185
echo bf;50, 100, 0.05;32.84574468085106;28.360830709027795;42.57490708190442
