method;params;ber percent;snr db;psnr db
echo bipolar bf;200, 250, 0.5;2.968231546453438;17.6817388347502;33.140773983574036
echo bipolar bf;150, 200, 0.5;3.038392760008703;17.635348275641515;33.09438342446597
echo bipolar bf;100, 150, 0.5;3.5111204036118364;17.674075490108084;33.133110639654575
echo bipolar bf;50, 100, 0.5;3.815733110313316;17.751658883377715;33.21069403395925
echo bipolar bf;200, 250, 0.25;7.365482552763273;23.41086501235156;38.869900163684186
echo bipolar bf;150, 200, 0.25;8.100709176457789;23.371130238259234;38.83016538737642
echo bipolar bf;100, 150, 0.25;9.312615589643167;23.41899362719088;38.87802877721282
echo bipolar bf;50, 100, 0.25;10.503231410465622;23.447469409061657;38.90650455863418
echo bipolar bf;200, 250, 0.05;33.74461148281114;35.95767504883545;51.416710200701864
echo bipolar bf;150, 200, 0.05;35.197726283724975;35.911677442525374;51.37071259166005
echo bipolar bf;100, 150, 0.05;36.704598767950394;35.95515266853526;51.4141878188385
echo bipolar bf;50, 100, 0.05;38.336920011966924;35.93799287509861;51.3970280249628
