method;params;ber percent;snr db;psnr db
echo bipolar;200, 250, 0.5;3.690794304830287;14.841270073162294;30.30030522196705
echo bipolar;150, 200, 0.5;4.176143317558747;14.837326162742226;30.296361312678453
echo bipolar;100, 150, 0.5;4.9859932550043515;14.844973675877874;30.304008825805447
echo bipolar;50, 100, 0.5;5.970035084856397;14.78140244658017;30.240437596104545
echo bipolar;200, 250, 0.25;8.972263585182768;20.583708682712725;36.04274383174704
echo bipolar;150, 200, 0.25;10.130582299825935;20.572168098545546;36.03120325022555
echo bipolar;100, 150, 0.25;11.603542822563098;20.574813581474785;36.03384872936151
echo bipolar;50, 100, 0.25;13.976445210509139;20.522752871531715;35.98178802229363
echo bipolar;200, 250, 0.05;34.434537165469976;33.478092360009825;48.93712750802307
echo bipolar;150, 200, 0.05;35.8646190301349;33.466749202456285;48.925784354069435
echo bipolar;100, 150, 0.05;37.069173602045254;33.45505224316808;48.9140873927421
echo bipolar;50, 100, 0.05;38.82719858300696;33.39738016639139;48.856415316233054
