method;params;ber percent;snr db;psnr db
echo single;200, 250, 0.5;1.778590425531915;7.832302831142329;22.046379204018955
echo single;50, 100, 0.5;1.778590425531915;7.062687435206725;21.276763808083352
echo single;100, 150, 0.5;1.978058510638298;7.129110476600408;21.343186849477036
echo single;150, 200, 0.5;2.1110372340425534;7.2860875356030315;21.500163908479657
echo single;200, 250, 0.25;5.053191489361702;12.9071946861062;27.121271058982824
echo single;150, 200, 0.25;5.169547872340425;12.537852248789736;26.751928621666362
echo single;50, 100, 0.25;5.352393617021277;12.626500874223622;26.840577247100246
echo single;100, 150, 0.25;5.46875;12.533350061812746;26.74742643468937
echo single;150, 200, 0.05;25.116356382978722;26.16199431899866;40.376070691875285
echo single;200, 250, 0.05;25.631648936170212;26.16921214357023;40.383288516446854
echo single;100, 150, 0.05;26.21343085106383;26.224879468742945;40.43895584161957
echo single;50, 100, 0.05;32.130984042553195;26.34910025834806;40.563176631224685
